,time_per_epoch,loss,val_loss,lr,training_time,test_time,iou
0,16.503351,0.593046,1.356418,0.001000,278.476493,0.712200,0.922056
1,2.931112,0.405539,0.679114,0.006000,278.476493,0.712200,0.922056
2,3.657257,0.211676,0.223591,0.006000,278.476493,0.712200,0.922056
3,2.988740,0.112057,0.082566,0.006000,278.476493,0.712200,0.922056
4,3.771298,0.073239,0.061075,0.006000,278.476493,0.712200,0.922056
5,2.833960,0.053583,0.046244,0.006000,278.476493,0.712200,0.922056
6,3.997375,0.043910,0.039989,0.006000,278.476493,0.712200,0.922056
7,2.930228,0.039963,0.039691,0.006000,278.476493,0.712200,0.922056
8,3.689763,0.031060,0.032136,0.006000,278.476493,0.712200,0.922056
9,2.895323,0.028887,0.029996,0.006000,278.476493,0.712200,0.922056
10,3.662347,0.023834,0.024330,0.006000,278.476493,0.712200,0.922056
11,2.954122,0.022400,0.022649,0.006000,278.476493,0.712200,0.922056
12,3.614387,0.020689,0.020967,0.006000,278.476493,0.712200,0.922056
13,2.999947,0.018714,0.025120,0.006000,278.476493,0.712200,0.922056
14,3.600519,0.017986,0.020861,0.006000,278.476493,0.712200,0.922056
15,2.987360,0.016909,0.018210,0.006000,278.476493,0.712200,0.922056
16,3.670028,0.016274,0.017487,0.006000,278.476493,0.712200,0.922056
17,2.963117,0.016257,0.026025,0.006000,278.476493,0.712200,0.922056
18,3.727290,0.015593,0.017277,0.006000,278.476493,0.712200,0.922056
19,3.207649,0.016643,0.024795,0.006000,278.476493,0.712200,0.922056
20,3.744443,0.016931,0.018077,0.006000,278.476493,0.712200,0.922056
21,2.987557,0.013519,0.015527,0.006000,278.476493,0.712200,0.922056
22,3.671952,0.012656,0.015195,0.006000,278.476493,0.712200,0.922056
23,2.966893,0.012343,0.014704,0.006000,278.476493,0.712200,0.922056
24,3.782689,0.012309,0.015048,0.006000,278.476493,0.712200,0.922056
25,2.974129,0.011991,0.015741,0.006000,278.476493,0.712200,0.922056
26,3.616042,0.011460,0.013606,0.006000,278.476493,0.712200,0.922056
27,2.896656,0.011389,0.013744,0.006000,278.476493,0.712200,0.922056
28,3.735100,0.010745,0.013103,0.006000,278.476493,0.712200,0.922056
29,2.914534,0.010654,0.013017,0.006000,278.476493,0.712200,0.922056
30,3.721683,0.010227,0.013119,0.006000,278.476493,0.712200,0.922056
31,2.915510,0.010010,0.013415,0.006000,278.476493,0.712200,0.922056
32,3.655979,0.009883,0.014572,0.006000,278.476493,0.712200,0.922056
33,3.029125,0.009556,0.013902,0.006000,278.476493,0.712200,0.922056
34,3.668586,0.009427,0.013210,0.006000,278.476493,0.712200,0.922056
35,2.950671,0.008997,0.013452,0.006000,278.476493,0.712200,0.922056
36,3.707766,0.008840,0.014261,0.006000,278.476493,0.712200,0.922056
37,2.880572,0.009091,0.014570,0.006000,278.476493,0.712200,0.922056
38,3.638667,0.009218,0.013252,0.006000,278.476493,0.712200,0.922056
39,2.962747,0.008574,0.012958,0.006000,278.476493,0.712200,0.922056
40,3.626438,0.008337,0.012398,0.006000,278.476493,0.712200,0.922056
41,2.984141,0.008354,0.015606,0.006000,278.476493,0.712200,0.922056
42,3.722279,0.008455,0.014197,0.006000,278.476493,0.712200,0.922056
43,2.925199,0.008769,0.013195,0.006000,278.476493,0.712200,0.922056
44,3.711734,0.009383,0.012430,0.006000,278.476493,0.712200,0.922056
45,3.077402,0.009514,0.014949,0.006000,278.476493,0.712200,0.922056
46,3.729098,0.009366,0.013373,0.006000,278.476493,0.712200,0.922056
47,2.967105,0.009336,0.023443,0.006000,278.476493,0.712200,0.922056
48,3.810603,0.008924,0.014278,0.006000,278.476493,0.712200,0.922056
49,2.993232,0.008174,0.012264,0.006000,278.476493,0.712200,0.922056
