,time_per_epoch,loss,val_loss,lr,training_time,test_time,iou
0,311.491208,0.529718,0.393648,0.001000,1779.331532,4.121031,0.926919
1,20.823991,0.286625,0.201059,0.001000,1779.331532,4.121031,0.926919
2,20.263690,0.156256,0.108421,0.001000,1779.331532,4.121031,0.926919
3,16.803462,0.091747,0.069443,0.001000,1779.331532,4.121031,0.926919
4,20.168762,0.060089,0.060100,0.001000,1779.331532,4.121031,0.926919
5,16.939917,0.046060,0.040489,0.001000,1779.331532,4.121031,0.926919
6,20.387464,0.033960,0.030954,0.001000,1779.331532,4.121031,0.926919
7,17.063207,0.026933,0.025211,0.001000,1779.331532,4.121031,0.926919
8,20.159954,0.022770,0.022523,0.001000,1779.331532,4.121031,0.926919
9,17.040285,0.020114,0.023351,0.001000,1779.331532,4.121031,0.926919
10,20.264299,0.021418,0.019554,0.001000,1779.331532,4.121031,0.926919
11,16.998166,0.018014,0.017162,0.001000,1779.331532,4.121031,0.926919
12,20.316323,0.022721,0.017875,0.001000,1779.331532,4.121031,0.926919
13,16.875809,0.015537,0.015643,0.001000,1779.331532,4.121031,0.926919
14,20.185509,0.014226,0.015178,0.001000,1779.331532,4.121031,0.926919
15,17.278353,0.012922,0.014812,0.001000,1779.331532,4.121031,0.926919
16,20.207334,0.012198,0.013981,0.001000,1779.331532,4.121031,0.926919
17,17.040109,0.011289,0.014110,0.001000,1779.331532,4.121031,0.926919
18,20.474591,0.010725,0.013757,0.001000,1779.331532,4.121031,0.926919
19,17.099940,0.011035,0.013815,0.001000,1779.331532,4.121031,0.926919
20,20.914736,0.011283,0.014651,0.001000,1779.331532,4.121031,0.926919
21,17.091289,0.010560,0.013338,0.001000,1779.331532,4.121031,0.926919
22,20.735494,0.012943,0.047394,0.001000,1779.331532,4.121031,0.926919
23,17.313886,0.012332,0.012753,0.001000,1779.331532,4.121031,0.926919
24,20.632995,0.009691,0.012843,0.001000,1779.331532,4.121031,0.926919
25,17.530700,0.008805,0.012633,0.001000,1779.331532,4.121031,0.926919
26,20.551941,0.008510,0.012671,0.001000,1779.331532,4.121031,0.926919
27,16.868659,0.008281,0.012589,0.001000,1779.331532,4.121031,0.926919
28,20.716639,0.007752,0.012810,0.001000,1779.331532,4.121031,0.926919
29,17.069997,0.007598,0.012757,0.001000,1779.331532,4.121031,0.926919
30,20.339327,0.007806,0.013493,0.001000,1779.331532,4.121031,0.926919
31,17.002228,0.008098,0.014463,0.001000,1779.331532,4.121031,0.926919
32,20.238952,0.008023,0.013943,0.001000,1779.331532,4.121031,0.926919
33,17.038438,0.007613,0.014307,0.001000,1779.331532,4.121031,0.926919
34,20.280261,0.007373,0.016353,0.001000,1779.331532,4.121031,0.926919
35,16.901877,0.007528,0.013823,0.001000,1779.331532,4.121031,0.926919
36,20.211613,0.009702,0.013730,0.001000,1779.331532,4.121031,0.926919
37,16.861094,0.007325,0.014532,0.001000,1779.331532,4.121031,0.926919
38,20.313032,0.006554,0.014403,0.001000,1779.331532,4.121031,0.926919
39,16.950131,0.006464,0.014179,0.001000,1779.331532,4.121031,0.926919
40,20.257715,0.006634,0.014041,0.001000,1779.331532,4.121031,0.926919
41,17.047831,0.006505,0.013712,0.001000,1779.331532,4.121031,0.926919
42,20.152965,0.010143,0.014975,0.001000,1779.331532,4.121031,0.926919
43,17.027450,0.007699,0.012864,0.001000,1779.331532,4.121031,0.926919
44,20.263375,0.006043,0.013948,0.001000,1779.331532,4.121031,0.926919
45,16.906869,0.005458,0.014467,0.001000,1779.331532,4.121031,0.926919
46,20.337777,0.005047,0.015195,0.001000,1779.331532,4.121031,0.926919
47,17.437879,0.004978,0.015014,0.001000,1779.331532,4.121031,0.926919
48,20.424752,0.005127,0.015010,0.001000,1779.331532,4.121031,0.926919
49,16.429491,0.005699,0.015490,0.001000,1779.331532,4.121031,0.926919
50,19.596960,0.006258,0.013589,0.001000,1779.331532,4.121031,0.926919
51,18.289869,0.006384,0.014050,0.001000,1779.331532,4.121031,0.926919
52,19.847662,0.005995,0.013947,0.001000,1779.331532,4.121031,0.926919
53,16.525615,0.005301,0.014450,0.001000,1779.331532,4.121031,0.926919
54,24.373272,0.005106,0.014691,0.001000,1779.331532,4.121031,0.926919
55,20.102984,0.005089,0.015253,0.001000,1779.331532,4.121031,0.926919
56,18.859439,0.005365,0.015168,0.001000,1779.331532,4.121031,0.926919
57,18.083013,0.005726,0.015089,0.001000,1779.331532,4.121031,0.926919
58,18.688933,0.005676,0.014792,0.001000,1779.331532,4.121031,0.926919
59,16.725549,0.009233,0.012545,0.001000,1779.331532,4.121031,0.926919
60,19.720371,0.005810,0.012641,0.000500,1779.331532,4.121031,0.926919
61,16.640018,0.004772,0.013787,0.000500,1779.331532,4.121031,0.926919
62,18.084335,0.004145,0.014734,0.000500,1779.331532,4.121031,0.926919
63,17.864173,0.003792,0.015488,0.000500,1779.331532,4.121031,0.926919
64,18.264580,0.003514,0.016211,0.000500,1779.331532,4.121031,0.926919
65,16.562741,0.003291,0.016928,0.000500,1779.331532,4.121031,0.926919
66,19.250914,0.003112,0.017437,0.000500,1779.331532,4.121031,0.926919
67,16.766854,0.002986,0.017788,0.000500,1779.331532,4.121031,0.926919
68,18.390722,0.002981,0.018127,0.000500,1779.331532,4.121031,0.926919
69,17.868443,0.003084,0.017490,0.000500,1779.331532,4.121031,0.926919
70,18.812758,0.003755,0.015646,0.000250,1779.331532,4.121031,0.926919
71,16.494145,0.003417,0.016560,0.000250,1779.331532,4.121031,0.926919
72,19.520663,0.002997,0.017448,0.000250,1779.331532,4.121031,0.926919
73,16.677503,0.002734,0.018143,0.000250,1779.331532,4.121031,0.926919
74,18.459138,0.002566,0.018756,0.000250,1779.331532,4.121031,0.926919
75,17.544113,0.002452,0.019288,0.000250,1779.331532,4.121031,0.926919
76,18.347155,0.002389,0.019653,0.000250,1779.331532,4.121031,0.926919
77,17.052510,0.002359,0.019793,0.000250,1779.331532,4.121031,0.926919
78,19.492641,0.002392,0.019697,0.000250,1779.331532,4.121031,0.926919
79,16.646515,0.002549,0.019243,0.000250,1779.331532,4.121031,0.926919
