,time_per_epoch,loss,val_loss,lr,training_time,test_time,iou
0,14.363053,0.591834,0.642246,0.001000,139.417258,0.279014,0.916281
1,1.382804,0.417214,101.011655,0.014000,139.417258,0.279014,0.916281
2,1.646810,0.222329,0.373248,0.014000,139.417258,0.279014,0.916281
3,1.521690,0.129857,0.235264,0.014000,139.417258,0.279014,0.916281
4,1.783014,0.087892,0.267662,0.014000,139.417258,0.279014,0.916281
5,1.672604,0.066974,0.113781,0.014000,139.417258,0.279014,0.916281
6,1.623714,0.058741,0.207756,0.014000,139.417258,0.279014,0.916281
7,1.329978,0.049058,0.064823,0.014000,139.417258,0.279014,0.916281
8,1.687968,0.040219,0.051524,0.014000,139.417258,0.279014,0.916281
9,1.687486,0.035826,0.035752,0.014000,139.417258,0.279014,0.916281
10,1.595597,0.030626,0.059149,0.014000,139.417258,0.279014,0.916281
11,1.765848,0.032411,0.033121,0.014000,139.417258,0.279014,0.916281
12,1.624636,0.025764,0.032954,0.014000,139.417258,0.279014,0.916281
13,1.393070,0.024060,0.039421,0.014000,139.417258,0.279014,0.916281
14,1.358745,0.022495,0.025307,0.014000,139.417258,0.279014,0.916281
15,1.387037,0.021750,0.045961,0.014000,139.417258,0.279014,0.916281
16,1.461828,0.018860,0.024230,0.014000,139.417258,0.279014,0.916281
17,1.703972,0.016945,0.019161,0.014000,139.417258,0.279014,0.916281
18,1.459175,0.016142,0.020695,0.014000,139.417258,0.279014,0.916281
19,1.536510,0.015361,0.018804,0.014000,139.417258,0.279014,0.916281
20,1.533546,0.014270,0.017995,0.014000,139.417258,0.279014,0.916281
21,1.552798,0.014444,0.019200,0.014000,139.417258,0.279014,0.916281
22,1.547666,0.013741,0.018567,0.014000,139.417258,0.279014,0.916281
23,1.528191,0.013504,0.019661,0.014000,139.417258,0.279014,0.916281
24,1.463717,0.013600,0.015911,0.014000,139.417258,0.279014,0.916281
25,1.325177,0.013036,0.016619,0.014000,139.417258,0.279014,0.916281
26,1.543107,0.012411,0.015128,0.014000,139.417258,0.279014,0.916281
27,1.701995,0.011880,0.016082,0.014000,139.417258,0.279014,0.916281
28,1.769478,0.011416,0.014804,0.014000,139.417258,0.279014,0.916281
29,1.525162,0.011750,0.015231,0.014000,139.417258,0.279014,0.916281
30,1.592716,0.012333,0.015093,0.014000,139.417258,0.279014,0.916281
31,1.505956,0.012271,0.017433,0.014000,139.417258,0.279014,0.916281
32,1.867721,0.011473,0.016026,0.014000,139.417258,0.279014,0.916281
33,1.610631,0.011627,0.016415,0.014000,139.417258,0.279014,0.916281
34,1.575962,0.010825,0.013996,0.014000,139.417258,0.279014,0.916281
35,1.478579,0.010567,0.014271,0.014000,139.417258,0.279014,0.916281
36,1.627973,0.010121,0.016224,0.014000,139.417258,0.279014,0.916281
37,1.614300,0.009930,0.015115,0.014000,139.417258,0.279014,0.916281
38,1.629703,0.009633,0.013313,0.014000,139.417258,0.279014,0.916281
39,1.632760,0.009284,0.015929,0.014000,139.417258,0.279014,0.916281
40,2.001242,0.009018,0.015853,0.014000,139.417258,0.279014,0.916281
41,1.786027,0.008853,0.013962,0.014000,139.417258,0.279014,0.916281
42,1.601315,0.008826,0.015334,0.014000,139.417258,0.279014,0.916281
43,1.610183,0.009130,0.014428,0.014000,139.417258,0.279014,0.916281
44,1.500600,0.009875,0.019532,0.014000,139.417258,0.279014,0.916281
45,1.735994,0.012477,0.017263,0.014000,139.417258,0.279014,0.916281
