,time_per_epoch,loss,lr,training_time,test_time,iou
0,65.124000,0.665135,0.001000,10741.209805,5.538027,0.883988
1,52.988765,0.506279,0.004000,10741.209805,5.538027,0.883988
2,53.347767,0.335450,0.004000,10741.209805,5.538027,0.883988
3,53.495650,0.241561,0.004000,10741.209805,5.538027,0.883988
4,53.959962,0.193151,0.004000,10741.209805,5.538027,0.883988
5,53.833876,0.158806,0.004000,10741.209805,5.538027,0.883988
6,53.378188,0.140749,0.004000,10741.209805,5.538027,0.883988
7,53.777023,0.126300,0.004000,10741.209805,5.538027,0.883988
8,53.577179,0.111536,0.004000,10741.209805,5.538027,0.883988
9,53.550595,0.100451,0.004000,10741.209805,5.538027,0.883988
10,53.322160,0.088584,0.004000,10741.209805,5.538027,0.883988
11,54.074929,0.081529,0.004000,10741.209805,5.538027,0.883988
12,53.740174,0.074899,0.004000,10741.209805,5.538027,0.883988
13,53.681465,0.068226,0.004000,10741.209805,5.538027,0.883988
14,53.539482,0.058900,0.004000,10741.209805,5.538027,0.883988
15,53.498904,0.052968,0.004000,10741.209805,5.538027,0.883988
16,53.490534,0.048540,0.004000,10741.209805,5.538027,0.883988
17,53.453957,0.044882,0.004000,10741.209805,5.538027,0.883988
18,53.602455,0.042186,0.004000,10741.209805,5.538027,0.883988
19,53.517537,0.040483,0.004000,10741.209805,5.538027,0.883988
20,53.406405,0.036923,0.004000,10741.209805,5.538027,0.883988
21,53.391478,0.034374,0.004000,10741.209805,5.538027,0.883988
22,53.511464,0.032644,0.004000,10741.209805,5.538027,0.883988
23,53.731014,0.032579,0.004000,10741.209805,5.538027,0.883988
24,53.469515,0.031951,0.004000,10741.209805,5.538027,0.883988
25,53.276919,0.029135,0.004000,10741.209805,5.538027,0.883988
26,53.615247,0.026835,0.004000,10741.209805,5.538027,0.883988
27,53.521875,0.025246,0.004000,10741.209805,5.538027,0.883988
28,53.503156,0.024398,0.004000,10741.209805,5.538027,0.883988
29,53.513861,0.022951,0.004000,10741.209805,5.538027,0.883988
30,53.745772,0.021747,0.004000,10741.209805,5.538027,0.883988
31,53.597948,0.020922,0.004000,10741.209805,5.538027,0.883988
32,53.298912,0.020528,0.004000,10741.209805,5.538027,0.883988
33,53.615205,0.020970,0.004000,10741.209805,5.538027,0.883988
34,53.567689,0.020652,0.004000,10741.209805,5.538027,0.883988
35,53.666286,0.047144,0.004000,10741.209805,5.538027,0.883988
36,53.801630,0.034732,0.004000,10741.209805,5.538027,0.883988
37,53.767995,0.029485,0.004000,10741.209805,5.538027,0.883988
38,53.473547,0.022873,0.004000,10741.209805,5.538027,0.883988
39,53.699735,0.019580,0.004000,10741.209805,5.538027,0.883988
40,53.551330,0.018248,0.004000,10741.209805,5.538027,0.883988
41,53.333946,0.017361,0.004000,10741.209805,5.538027,0.883988
42,53.393293,0.016743,0.004000,10741.209805,5.538027,0.883988
43,53.484209,0.016393,0.004000,10741.209805,5.538027,0.883988
44,53.745781,0.016246,0.004000,10741.209805,5.538027,0.883988
45,53.685708,0.016329,0.004000,10741.209805,5.538027,0.883988
46,53.738558,0.015280,0.004000,10741.209805,5.538027,0.883988
47,53.505497,0.014395,0.004000,10741.209805,5.538027,0.883988
48,53.354667,0.013814,0.004000,10741.209805,5.538027,0.883988
49,53.477972,0.013530,0.004000,10741.209805,5.538027,0.883988
50,54.022935,0.013387,0.004000,10741.209805,5.538027,0.883988
51,53.436466,0.013388,0.004000,10741.209805,5.538027,0.883988
52,53.500802,0.013538,0.004000,10741.209805,5.538027,0.883988
53,53.545010,0.013779,0.004000,10741.209805,5.538027,0.883988
54,53.315024,0.013577,0.004000,10741.209805,5.538027,0.883988
55,53.337456,0.012380,0.004000,10741.209805,5.538027,0.883988
56,53.692104,0.011708,0.004000,10741.209805,5.538027,0.883988
57,53.662941,0.011384,0.004000,10741.209805,5.538027,0.883988
58,53.503872,0.011349,0.004000,10741.209805,5.538027,0.883988
59,53.412218,0.011744,0.004000,10741.209805,5.538027,0.883988
60,53.779794,0.012110,0.004000,10741.209805,5.538027,0.883988
61,53.571053,0.012116,0.004000,10741.209805,5.538027,0.883988
62,53.790271,0.012083,0.004000,10741.209805,5.538027,0.883988
63,53.692875,0.011783,0.004000,10741.209805,5.538027,0.883988
64,53.914259,0.011388,0.004000,10741.209805,5.538027,0.883988
65,53.488585,0.011120,0.004000,10741.209805,5.538027,0.883988
66,53.719264,0.010686,0.004000,10741.209805,5.538027,0.883988
67,54.132948,0.010556,0.004000,10741.209805,5.538027,0.883988
68,53.461725,0.010506,0.004000,10741.209805,5.538027,0.883988
69,53.685616,0.010689,0.004000,10741.209805,5.538027,0.883988
70,53.570245,0.010962,0.004000,10741.209805,5.538027,0.883988
71,53.686157,0.013744,0.004000,10741.209805,5.538027,0.883988
72,53.780524,0.011342,0.004000,10741.209805,5.538027,0.883988
73,53.672702,0.010226,0.004000,10741.209805,5.538027,0.883988
74,53.364835,0.009940,0.004000,10741.209805,5.538027,0.883988
75,53.715091,0.010134,0.004000,10741.209805,5.538027,0.883988
76,53.621206,0.010368,0.004000,10741.209805,5.538027,0.883988
77,53.584719,0.009981,0.004000,10741.209805,5.538027,0.883988
78,53.618500,0.010255,0.004000,10741.209805,5.538027,0.883988
79,53.284709,0.010329,0.004000,10741.209805,5.538027,0.883988
80,53.497307,0.009369,0.002000,10741.209805,5.538027,0.883988
81,53.687730,0.008210,0.002000,10741.209805,5.538027,0.883988
82,53.631040,0.007667,0.002000,10741.209805,5.538027,0.883988
83,53.799421,0.007283,0.002000,10741.209805,5.538027,0.883988
84,53.336536,0.006984,0.002000,10741.209805,5.538027,0.883988
85,53.310811,0.006747,0.002000,10741.209805,5.538027,0.883988
86,53.465677,0.006539,0.002000,10741.209805,5.538027,0.883988
87,53.371509,0.006355,0.002000,10741.209805,5.538027,0.883988
88,53.571843,0.006185,0.002000,10741.209805,5.538027,0.883988
89,53.730501,0.006030,0.002000,10741.209805,5.538027,0.883988
90,53.495074,0.005881,0.002000,10741.209805,5.538027,0.883988
91,53.315436,0.005746,0.002000,10741.209805,5.538027,0.883988
92,53.402844,0.005617,0.002000,10741.209805,5.538027,0.883988
93,53.723467,0.005492,0.002000,10741.209805,5.538027,0.883988
94,53.522262,0.005375,0.002000,10741.209805,5.538027,0.883988
95,53.405809,0.005264,0.002000,10741.209805,5.538027,0.883988
96,53.490026,0.005165,0.002000,10741.209805,5.538027,0.883988
97,53.445569,0.005076,0.002000,10741.209805,5.538027,0.883988
98,53.592239,0.005008,0.002000,10741.209805,5.538027,0.883988
99,53.490693,0.004960,0.002000,10741.209805,5.538027,0.883988
100,53.353292,0.005052,0.002000,10741.209805,5.538027,0.883988
101,53.466079,0.005621,0.002000,10741.209805,5.538027,0.883988
102,53.792972,0.005639,0.002000,10741.209805,5.538027,0.883988
103,53.457154,0.005616,0.002000,10741.209805,5.538027,0.883988
104,53.713042,0.006038,0.002000,10741.209805,5.538027,0.883988
105,53.546823,0.006573,0.002000,10741.209805,5.538027,0.883988
106,53.682116,0.006519,0.002000,10741.209805,5.538027,0.883988
107,53.657549,0.006879,0.002000,10741.209805,5.538027,0.883988
108,53.588561,0.006669,0.002000,10741.209805,5.538027,0.883988
109,53.637592,0.006552,0.002000,10741.209805,5.538027,0.883988
110,53.727785,0.006692,0.002000,10741.209805,5.538027,0.883988
