,time_per_epoch,loss,lr,training_time,test_time,iou
0,31.189012,0.700207,0.001000,4460.703545,1.609980,0.781376
1,22.313180,0.565038,0.010000,4460.703545,1.609980,0.781376
2,22.272963,0.414930,0.010000,4460.703545,1.609980,0.781376
3,22.324916,0.338545,0.010000,4460.703545,1.609980,0.781376
4,22.059912,0.308672,0.010000,4460.703545,1.609980,0.781376
5,22.236037,0.301417,0.010000,4460.703545,1.609980,0.781376
6,22.201345,0.284386,0.010000,4460.703545,1.609980,0.781376
7,22.344431,0.251194,0.010000,4460.703545,1.609980,0.781376
8,22.378355,0.232691,0.010000,4460.703545,1.609980,0.781376
9,22.197069,0.236451,0.010000,4460.703545,1.609980,0.781376
10,22.158122,0.225980,0.010000,4460.703545,1.609980,0.781376
11,22.135716,0.196916,0.010000,4460.703545,1.609980,0.781376
12,22.238614,0.190940,0.010000,4460.703545,1.609980,0.781376
13,22.299576,0.180882,0.010000,4460.703545,1.609980,0.781376
14,22.347793,0.167453,0.010000,4460.703545,1.609980,0.781376
15,22.225687,0.160259,0.010000,4460.703545,1.609980,0.781376
16,22.315848,0.139980,0.010000,4460.703545,1.609980,0.781376
17,22.274489,0.138794,0.010000,4460.703545,1.609980,0.781376
18,22.178837,0.134072,0.010000,4460.703545,1.609980,0.781376
19,22.207281,0.129896,0.010000,4460.703545,1.609980,0.781376
20,22.168945,0.122979,0.010000,4460.703545,1.609980,0.781376
21,22.321153,0.122321,0.010000,4460.703545,1.609980,0.781376
22,22.113607,0.114274,0.010000,4460.703545,1.609980,0.781376
23,22.261113,0.105492,0.010000,4460.703545,1.609980,0.781376
24,22.277121,0.104365,0.010000,4460.703545,1.609980,0.781376
25,22.335055,0.102375,0.010000,4460.703545,1.609980,0.781376
26,22.156039,0.098453,0.010000,4460.703545,1.609980,0.781376
27,22.505011,0.093904,0.010000,4460.703545,1.609980,0.781376
28,22.223596,0.090849,0.010000,4460.703545,1.609980,0.781376
29,22.665540,0.092160,0.010000,4460.703545,1.609980,0.781376
30,22.366611,0.098227,0.010000,4460.703545,1.609980,0.781376
31,22.452820,0.090003,0.010000,4460.703545,1.609980,0.781376
32,22.496488,0.087459,0.010000,4460.703545,1.609980,0.781376
33,22.575983,0.077930,0.010000,4460.703545,1.609980,0.781376
34,22.492371,0.073284,0.010000,4460.703545,1.609980,0.781376
35,22.591825,0.068613,0.010000,4460.703545,1.609980,0.781376
36,22.431887,0.072582,0.010000,4460.703545,1.609980,0.781376
37,22.658529,0.071803,0.010000,4460.703545,1.609980,0.781376
38,22.375446,0.067046,0.010000,4460.703545,1.609980,0.781376
39,22.454872,0.063679,0.010000,4460.703545,1.609980,0.781376
40,22.581566,0.058881,0.010000,4460.703545,1.609980,0.781376
41,22.553614,0.056768,0.010000,4460.703545,1.609980,0.781376
42,22.501777,0.051580,0.010000,4460.703545,1.609980,0.781376
43,22.549579,0.049837,0.010000,4460.703545,1.609980,0.781376
44,22.647419,0.048508,0.010000,4460.703545,1.609980,0.781376
45,22.397061,0.048229,0.010000,4460.703545,1.609980,0.781376
46,22.477640,0.044833,0.010000,4460.703545,1.609980,0.781376
47,22.297750,0.043681,0.010000,4460.703545,1.609980,0.781376
48,22.375552,0.041849,0.010000,4460.703545,1.609980,0.781376
49,22.113883,0.040796,0.010000,4460.703545,1.609980,0.781376
50,22.275498,0.041889,0.010000,4460.703545,1.609980,0.781376
51,22.079831,0.042713,0.010000,4460.703545,1.609980,0.781376
52,22.066462,0.045412,0.010000,4460.703545,1.609980,0.781376
53,22.236266,0.042456,0.010000,4460.703545,1.609980,0.781376
54,22.209290,0.038390,0.010000,4460.703545,1.609980,0.781376
