,time_per_epoch,loss,lr,training_time,test_time,iou
0,123.757995,0.636510,0.001000,21196.440899,5.521225,0.894166
1,108.842833,0.514957,0.004000,21196.440899,5.521225,0.894166
2,104.360121,0.380299,0.004000,21196.440899,5.521225,0.894166
3,105.055031,0.303739,0.004000,21196.440899,5.521225,0.894166
4,104.879497,0.240936,0.004000,21196.440899,5.521225,0.894166
5,106.835506,0.203440,0.004000,21196.440899,5.521225,0.894166
6,107.515530,0.169832,0.004000,21196.440899,5.521225,0.894166
7,105.416260,0.149487,0.004000,21196.440899,5.521225,0.894166
8,105.143283,0.133865,0.004000,21196.440899,5.521225,0.894166
9,106.454933,0.118636,0.004000,21196.440899,5.521225,0.894166
10,105.340423,0.110318,0.004000,21196.440899,5.521225,0.894166
11,107.969150,0.103021,0.004000,21196.440899,5.521225,0.894166
12,106.060041,0.098370,0.004000,21196.440899,5.521225,0.894166
13,106.756809,0.080718,0.004000,21196.440899,5.521225,0.894166
14,106.952280,0.075140,0.004000,21196.440899,5.521225,0.894166
15,104.250908,0.068206,0.004000,21196.440899,5.521225,0.894166
16,103.507411,0.059149,0.004000,21196.440899,5.521225,0.894166
17,107.240316,0.053147,0.004000,21196.440899,5.521225,0.894166
18,105.824733,0.051616,0.004000,21196.440899,5.521225,0.894166
19,104.804238,0.047633,0.004000,21196.440899,5.521225,0.894166
20,105.427774,0.043809,0.004000,21196.440899,5.521225,0.894166
21,106.365517,0.042713,0.004000,21196.440899,5.521225,0.894166
22,106.892147,0.039875,0.004000,21196.440899,5.521225,0.894166
23,106.531007,0.038854,0.004000,21196.440899,5.521225,0.894166
24,105.784460,0.036421,0.004000,21196.440899,5.521225,0.894166
25,104.653726,0.033465,0.004000,21196.440899,5.521225,0.894166
26,105.986598,0.031434,0.004000,21196.440899,5.521225,0.894166
27,107.713120,0.029524,0.004000,21196.440899,5.521225,0.894166
28,107.299685,0.028896,0.004000,21196.440899,5.521225,0.894166
29,105.462590,0.027807,0.004000,21196.440899,5.521225,0.894166
30,104.310463,0.027335,0.004000,21196.440899,5.521225,0.894166
31,108.138541,0.025096,0.004000,21196.440899,5.521225,0.894166
32,107.076418,0.024432,0.004000,21196.440899,5.521225,0.894166
33,104.365110,0.024008,0.004000,21196.440899,5.521225,0.894166
34,105.538137,0.023098,0.004000,21196.440899,5.521225,0.894166
35,105.215198,0.022066,0.004000,21196.440899,5.521225,0.894166
36,106.280106,0.022184,0.004000,21196.440899,5.521225,0.894166
37,104.118873,0.022195,0.004000,21196.440899,5.521225,0.894166
38,105.235785,0.021260,0.004000,21196.440899,5.521225,0.894166
39,106.849466,0.021084,0.004000,21196.440899,5.521225,0.894166
40,107.288588,0.020548,0.004000,21196.440899,5.521225,0.894166
41,107.488556,0.019415,0.004000,21196.440899,5.521225,0.894166
42,105.229443,0.019175,0.004000,21196.440899,5.521225,0.894166
43,105.143815,0.019084,0.004000,21196.440899,5.521225,0.894166
44,106.183709,0.019064,0.004000,21196.440899,5.521225,0.894166
45,105.562382,0.018139,0.004000,21196.440899,5.521225,0.894166
46,103.288589,0.017923,0.004000,21196.440899,5.521225,0.894166
47,104.077179,0.018000,0.004000,21196.440899,5.521225,0.894166
48,104.687541,0.017136,0.004000,21196.440899,5.521225,0.894166
49,109.327446,0.016552,0.004000,21196.440899,5.521225,0.894166
50,105.115634,0.015522,0.004000,21196.440899,5.521225,0.894166
51,105.923024,0.014381,0.004000,21196.440899,5.521225,0.894166
52,104.019089,0.013596,0.004000,21196.440899,5.521225,0.894166
53,106.669650,0.013132,0.004000,21196.440899,5.521225,0.894166
54,105.345858,0.012968,0.004000,21196.440899,5.521225,0.894166
55,107.398142,0.013318,0.004000,21196.440899,5.521225,0.894166
56,108.492252,0.013294,0.004000,21196.440899,5.521225,0.894166
57,110.005769,0.013547,0.004000,21196.440899,5.521225,0.894166
58,107.221608,0.013107,0.004000,21196.440899,5.521225,0.894166
59,109.480517,0.012062,0.004000,21196.440899,5.521225,0.894166
60,103.348165,0.011402,0.004000,21196.440899,5.521225,0.894166
61,107.701710,0.011142,0.004000,21196.440899,5.521225,0.894166
62,107.021320,0.011239,0.004000,21196.440899,5.521225,0.894166
63,104.885650,0.011699,0.004000,21196.440899,5.521225,0.894166
64,104.985141,0.012296,0.004000,21196.440899,5.521225,0.894166
65,103.157250,0.012169,0.004000,21196.440899,5.521225,0.894166
66,108.985241,0.012046,0.004000,21196.440899,5.521225,0.894166
67,104.146029,0.012573,0.004000,21196.440899,5.521225,0.894166
68,104.974693,0.014234,0.004000,21196.440899,5.521225,0.894166
69,107.650288,0.011742,0.004000,21196.440899,5.521225,0.894166
70,105.853301,0.010266,0.004000,21196.440899,5.521225,0.894166
71,106.230845,0.009968,0.004000,21196.440899,5.521225,0.894166
72,107.764060,0.009994,0.004000,21196.440899,5.521225,0.894166
73,102.069096,0.010144,0.004000,21196.440899,5.521225,0.894166
74,106.273169,0.010381,0.004000,21196.440899,5.521225,0.894166
75,105.007902,0.010294,0.004000,21196.440899,5.521225,0.894166
76,103.367067,0.011139,0.004000,21196.440899,5.521225,0.894166
77,104.109745,0.010287,0.004000,21196.440899,5.521225,0.894166
78,106.481909,0.009627,0.004000,21196.440899,5.521225,0.894166
79,103.030859,0.009974,0.004000,21196.440899,5.521225,0.894166
80,105.880746,0.009546,0.002000,21196.440899,5.521225,0.894166
81,105.975232,0.008799,0.002000,21196.440899,5.521225,0.894166
82,102.159847,0.008219,0.002000,21196.440899,5.521225,0.894166
83,106.266247,0.007802,0.002000,21196.440899,5.521225,0.894166
84,106.398152,0.007582,0.002000,21196.440899,5.521225,0.894166
85,106.815200,0.007430,0.002000,21196.440899,5.521225,0.894166
86,104.419805,0.007271,0.002000,21196.440899,5.521225,0.894166
87,104.977817,0.007106,0.002000,21196.440899,5.521225,0.894166
88,105.094657,0.006946,0.002000,21196.440899,5.521225,0.894166
89,109.255830,0.006788,0.002000,21196.440899,5.521225,0.894166
90,107.535089,0.006646,0.002000,21196.440899,5.521225,0.894166
91,106.518019,0.006530,0.002000,21196.440899,5.521225,0.894166
92,105.784222,0.006474,0.002000,21196.440899,5.521225,0.894166
93,102.317490,0.006556,0.002000,21196.440899,5.521225,0.894166
94,103.821724,0.006910,0.002000,21196.440899,5.521225,0.894166
95,107.097889,0.007354,0.002000,21196.440899,5.521225,0.894166
96,108.634050,0.007344,0.002000,21196.440899,5.521225,0.894166
97,106.665056,0.007122,0.002000,21196.440899,5.521225,0.894166
98,108.375876,0.006891,0.002000,21196.440899,5.521225,0.894166
99,107.549772,0.006699,0.002000,21196.440899,5.521225,0.894166
100,104.425787,0.006833,0.002000,21196.440899,5.521225,0.894166
101,107.073852,0.006915,0.002000,21196.440899,5.521225,0.894166
102,106.930705,0.007248,0.002000,21196.440899,5.521225,0.894166
103,106.181643,0.007168,0.002000,21196.440899,5.521225,0.894166
104,107.846169,0.007119,0.002000,21196.440899,5.521225,0.894166
105,107.586052,0.006594,0.002000,21196.440899,5.521225,0.894166
106,106.830542,0.006514,0.002000,21196.440899,5.521225,0.894166
107,107.411860,0.006908,0.002000,21196.440899,5.521225,0.894166
108,105.625370,0.006845,0.002000,21196.440899,5.521225,0.894166
109,105.023872,0.006524,0.002000,21196.440899,5.521225,0.894166
110,104.578933,0.006511,0.002000,21196.440899,5.521225,0.894166
111,106.797488,0.006448,0.002000,21196.440899,5.521225,0.894166
112,106.257665,0.006275,0.002000,21196.440899,5.521225,0.894166
113,104.284751,0.006219,0.002000,21196.440899,5.521225,0.894166
114,108.725855,0.006436,0.002000,21196.440899,5.521225,0.894166
115,105.675086,0.006643,0.002000,21196.440899,5.521225,0.894166
116,105.211066,0.006433,0.002000,21196.440899,5.521225,0.894166
117,104.033141,0.006177,0.002000,21196.440899,5.521225,0.894166
118,104.749357,0.005951,0.002000,21196.440899,5.521225,0.894166
119,107.284844,0.005744,0.002000,21196.440899,5.521225,0.894166
120,106.198067,0.005633,0.001000,21196.440899,5.521225,0.894166
121,104.758452,0.005883,0.001000,21196.440899,5.521225,0.894166
122,102.318505,0.005784,0.001000,21196.440899,5.521225,0.894166
123,105.770547,0.005648,0.001000,21196.440899,5.521225,0.894166
124,105.989147,0.005413,0.001000,21196.440899,5.521225,0.894166
125,105.648249,0.005193,0.001000,21196.440899,5.521225,0.894166
126,107.209324,0.005014,0.001000,21196.440899,5.521225,0.894166
127,105.372652,0.004877,0.001000,21196.440899,5.521225,0.894166
128,104.519605,0.004776,0.001000,21196.440899,5.521225,0.894166
129,105.816004,0.004716,0.001000,21196.440899,5.521225,0.894166
130,106.739550,0.004723,0.001000,21196.440899,5.521225,0.894166
131,105.258095,0.004778,0.001000,21196.440899,5.521225,0.894166
132,104.765999,0.004870,0.001000,21196.440899,5.521225,0.894166
